# frame cx cy
0 590.0 1259.0
1 590.0 1259.0
2 590.0 1259.0
3 590.0 1259.0
4 590.0 1259.0
5 552.0 1243.0
6 555.0 1244.0
7 690.0 1159.0
8 697.0 1152.0
9 703.0 1146.0
10 708.0 1141.0
11 712.0 1137.0
12 714.0 1135.0
13 714.0 1134.0
14 712.0 1136.0
15 709.0 1139.0
16 707.0 1142.0
17 705.0 1143.0
18 704.0 1144.0
19 704.0 1145.0
20 703.0 1145.0
21 703.0 1145.0
22 703.0 1145.0
23 703.0 1145.0
24 703.0 1146.0
25 703.0 1146.0
26 703.0 1146.0
27 703.0 1146.0
28 703.0 1146.0
29 703.0 1146.0
30 703.0 1145.0
31 703.0 1145.0
32 703.0 1145.0
33 527.0 1122.0
34 527.0 1122.0
35 543.0 1125.0
36 543.0 1125.0
37 543.0 1125.0
38 579.0 1118.0
39 579.0 1118.0
40 579.0 1118.0
41 604.0 1122.0
42 604.0 1122.0
43 604.0 1122.0
44 630.0 1126.0
45 630.0 1126.0
46 630.0 1126.0
47 655.0 1120.0
48 655.0 1120.0
49 689.0 1122.0
50 689.0 1122.0
51 689.0 1122.0
52 705.0 1125.0
53 705.0 1125.0
54 705.0 1125.0
55 741.0 1118.0
56 741.0 1118.0
57 741.0 1118.0
58 763.0 1123.0
59 763.0 1123.0
60 782.0 1131.0
61 782.0 1131.0
62 782.0 1131.0
63 758.0 1354.0
64 758.0 1354.0
65 758.0 1354.0
66 754.0 1422.0
67 749.0 1474.0
68 744.0 1526.0
69 739.0 1578.0
70 734.0 1630.0
71 729.0 1683.0
72 724.0 1735.0
73 719.0 1787.0
74 714.0 1839.0
75 709.0 1891.0
76 704.0 1943.0
77 699.0 1995.0
78 862.0 1695.0
79 860.0 1693.0
80 860.0 1693.0
81 860.0 1693.0
82 860.0 1693.0
83 860.0 1693.0
84 860.0 1693.0
85 860.0 1693.0
86 860.0 1693.0
87 860.0 1693.0
88 860.0 1693.0
89 860.0 1693.0
90 860.0 1693.0
91 860.0 1693.0
92 860.0 1693.0
